"age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,6
17,1,1,1,2,0,5,3,3,1,1,3,4,5,5,6
15,1,1,1,2,3,4,3,2,2,3,3,10,7,8,10
15,4,2,1,3,0,3,2,2,1,1,5,2,15,14,15
16,3,3,1,2,0,4,3,2,1,2,5,4,6,10,10
16,4,3,1,2,0,5,4,2,1,2,5,10,15,15,15
16,2,2,1,2,0,4,4,4,1,1,3,0,12,12,11
17,4,4,2,2,0,4,1,4,1,1,1,6,6,5,6
15,3,2,1,2,0,4,2,2,1,1,1,0,16,18,19
15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,15
15,4,4,1,2,0,3,3,3,1,2,2,0,10,8,9
15,2,1,3,3,0,5,2,2,1,1,4,4,10,12,12
15,4,4,1,1,0,4,3,3,1,3,5,2,14,14,14
15,4,3,2,2,0,5,4,3,1,2,3,2,10,10,11
15,2,2,1,3,0,4,5,2,1,1,3,0,14,16,16
16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,14
16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,14
16,3,3,3,2,0,5,3,2,1,1,4,4,8,10,10
17,3,2,1,1,3,5,5,5,2,4,5,16,6,5,5
16,4,3,1,1,0,3,1,3,1,3,5,4,8,10,10
15,4,3,1,2,0,4,4,1,1,1,1,0,13,14,15
15,4,4,1,1,0,5,4,2,1,1,5,0,12,15,15
16,4,2,1,2,0,4,5,1,1,3,5,2,15,15,16
16,2,2,2,2,0,5,4,4,2,4,5,0,13,13,12
15,2,4,1,3,0,4,3,2,1,1,5,2,10,9,8
16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,8
15,2,2,1,1,0,4,2,2,1,2,5,2,12,12,11
15,4,2,1,1,0,2,2,4,2,4,1,4,15,16,15
16,3,4,1,2,0,5,3,3,1,1,5,4,11,11,11
16,4,4,1,2,0,4,4,5,5,5,5,16,10,12,11
15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12
15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17
15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16
15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,12
16,3,2,1,1,0,5,4,3,1,1,5,0,12,14,15
15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6
15,4,3,1,3,0,5,4,3,1,1,4,2,15,16,18
16,4,4,2,3,0,2,4,3,1,1,5,7,15,16,15
15,3,4,1,3,0,4,3,2,1,1,5,2,12,12,11
15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,13
16,2,2,2,2,1,3,3,3,1,2,3,25,7,10,11
15,4,4,1,1,0,5,4,3,2,4,5,8,12,12,12
15,4,4,1,2,0,4,3,3,1,1,5,2,19,18,18
15,2,2,1,1,0,5,4,1,1,1,1,0,8,8,11
16,2,2,2,2,1,4,3,3,2,2,5,14,10,10,9
15,4,3,1,2,0,5,2,2,1,1,5,8,8,8,6
16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,11
16,4,3,1,4,0,4,2,2,1,1,2,4,19,19,20
15,4,2,1,2,0,4,3,3,2,2,5,2,15,15,14
15,4,4,1,2,1,4,4,4,1,1,3,2,7,7,7
16,2,2,3,2,0,4,3,3,2,3,4,2,12,13,13
15,4,2,1,2,0,4,3,3,1,1,5,2,11,13,13
15,4,2,2,1,1,5,5,5,3,4,5,6,11,11,10
15,4,4,1,1,0,3,3,4,2,3,5,0,8,10,11
15,3,3,1,1,0,5,3,4,4,4,1,6,10,13,13
16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,10
15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,15
15,4,4,1,2,0,3,2,2,1,1,5,4,14,15,15
15,1,2,1,2,0,4,3,2,1,1,5,2,9,10,9
16,4,2,1,2,0,4,2,3,1,1,5,2,15,16,16
16,4,4,1,2,0,2,4,4,2,3,4,6,10,11,11
16,1,1,4,1,0,5,5,5,5,5,5,6,10,8,11
16,1,2,1,2,0,4,4,3,1,1,1,4,8,10,9
16,4,3,1,3,0,3,4,4,2,4,4,2,10,9,9
15,4,3,1,2,0,4,4,4,2,4,2,0,10,10,10
16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,15
15,4,4,1,4,0,1,3,3,5,5,3,4,13,13,12
16,3,1,1,4,0,4,3,3,1,2,5,4,7,7,6
15,2,2,2,2,0,4,1,3,1,3,4,2,8,9,8
15,3,1,2,4,0,4,4,2,2,3,3,12,16,16,16
16,3,1,2,4,0,4,3,2,1,1,5,0,13,15,15
15,4,2,1,4,0,3,3,3,1,1,3,0,10,10,10
15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,5
16,3,1,1,1,0,5,3,2,2,2,5,2,12,12,14
16,3,3,1,2,0,4,3,3,2,4,5,54,11,12,11
15,4,3,1,2,0,4,3,3,2,3,5,6,9,9,10
15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,10
16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,11
17,2,1,2,1,3,4,5,1,1,1,3,2,8,8,10
16,3,4,1,2,0,2,4,3,1,2,3,12,5,5,5
15,2,3,1,1,0,3,2,2,1,3,3,2,10,12,12
15,2,3,1,3,0,5,3,2,1,2,5,4,11,10,11
15,3,2,1,2,0,4,4,4,1,1,5,10,7,6,6
15,2,2,2,2,0,5,3,3,1,3,4,4,15,15,15
15,1,1,1,2,0,4,3,2,2,3,4,2,9,10,10
15,4,4,2,2,2,4,4,4,2,3,5,6,7,9,8
16,2,2,1,2,0,4,3,4,1,2,2,4,8,7,6
15,4,2,1,3,0,5,3,3,1,3,1,4,13,14,14
16,2,2,2,2,1,4,4,2,1,1,3,12,11,10,10
16,4,4,1,2,0,4,1,3,3,5,5,18,8,6,7
16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,8
15,4,3,1,1,0,4,5,5,1,3,1,4,16,17,18
16,3,1,1,2,0,3,3,3,2,3,2,4,7,6,6
16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,10
15,2,2,1,4,0,4,3,4,1,1,4,6,11,13,14
15,1,1,2,4,1,3,1,2,1,1,1,2,7,10,10
16,4,3,2,1,0,3,3,3,1,1,4,2,11,15,15
16,2,1,1,2,0,4,3,5,1,1,5,2,8,9,10
16,4,4,1,1,0,5,3,4,1,2,1,6,11,14,14
16,4,3,1,3,0,5,3,5,1,1,3,0,7,9,8
16,4,4,1,1,0,4,5,5,5,5,4,14,7,7,5
16,4,4,1,3,0,4,4,3,1,1,4,0,16,17,17
15,4,4,1,1,0,5,3,3,1,1,5,4,10,13,14
15,3,2,2,2,0,4,3,5,1,1,2,26,7,6,6
15,3,4,1,2,0,5,4,4,1,1,1,0,16,18,18
15,3,3,1,4,0,4,3,3,1,1,4,10,10,11,11
15,2,2,1,4,0,5,1,2,1,1,3,8,7,8,8
16,3,3,1,3,0,5,3,3,1,1,5,2,16,18,18
15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,13
16,4,4,1,3,0,5,4,5,1,1,4,4,14,15,16
15,4,4,1,1,0,5,5,3,1,1,4,6,18,19,19
16,3,3,1,3,1,4,1,2,1,1,2,0,7,10,10
16,2,2,1,2,1,3,1,2,1,1,5,6,10,13,13
15,4,2,1,1,0,3,5,2,1,1,3,10,18,19,19
15,2,1,1,2,0,5,4,2,1,1,5,8,9,9,9
16,4,4,1,2,0,5,4,4,1,2,5,2,15,15,16
15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,14
16,3,3,2,1,0,5,4,2,1,1,5,0,13,14,13
17,1,3,3,2,1,5,2,4,1,4,5,20,9,7,8
15,3,4,1,1,0,3,4,3,1,2,4,6,14,13,13
15,1,2,1,2,0,3,2,3,1,2,1,2,16,15,15
15,2,2,1,4,0,5,5,4,1,2,5,6,16,14,15
16,2,4,2,2,0,4,2,2,1,2,5,2,13,13,13
16,4,4,1,1,0,3,4,4,1,4,5,18,14,11,13
16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,8
15,3,4,1,1,0,5,5,5,3,2,5,0,13,13,12
15,3,4,1,2,0,5,3,2,1,1,1,0,7,10,11
19,0,1,1,2,3,3,4,2,1,1,5,2,7,8,9
18,2,2,1,1,2,3,3,3,1,2,4,0,7,4,0
16,4,4,1,1,0,3,5,5,2,5,4,8,18,18,18
15,3,4,2,3,2,4,2,2,2,2,5,0,12,0,0
15,1,1,3,1,0,4,3,3,1,2,4,0,8,0,0
17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,12
16,3,4,1,1,0,3,2,1,1,4,5,16,12,11,11
15,3,4,4,2,0,5,3,3,1,1,5,0,9,0,0
15,4,4,1,3,0,4,3,3,1,1,5,0,11,0,0
17,3,4,3,2,0,5,4,5,2,4,5,0,10,0,0
16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0
16,1,1,1,2,1,4,4,4,1,3,5,0,14,12,12
15,4,4,2,1,0,4,3,2,1,1,5,0,16,16,15
15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0
16,2,2,2,1,2,2,3,3,2,2,2,8,9,9,9
15,4,4,1,3,0,4,2,2,1,1,5,2,9,11,11
16,1,1,1,1,0,3,4,4,3,3,1,2,14,14,13
17,2,1,1,1,3,5,4,5,1,2,5,0,5,0,0
15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,11
15,3,2,1,2,3,3,3,2,1,1,3,0,6,7,0
15,1,2,1,2,0,4,3,2,1,1,5,2,10,11,11
16,4,4,1,1,0,3,3,2,2,1,5,0,7,6,0
15,2,1,4,1,3,4,5,5,2,5,5,0,8,9,10
18,1,1,1,1,3,2,3,5,2,5,4,0,6,5,0
16,2,1,1,1,1,4,4,4,3,5,5,6,12,13,14
15,3,3,2,3,2,4,2,1,2,3,3,8,10,10,10
19,3,2,1,1,3,4,5,4,1,1,4,0,5,0,0
17,4,4,1,1,0,4,2,1,1,1,4,0,11,11,12
15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,8
17,1,2,1,1,0,2,2,2,3,3,5,8,16,12,13
18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,10
16,2,2,3,1,0,4,2,2,1,2,3,2,17,15,15
16,3,3,1,2,1,4,5,5,4,4,5,4,10,12,12
17,2,1,2,1,2,3,3,2,2,2,5,0,7,6,0
15,3,2,2,2,2,4,4,4,1,4,3,6,5,9,7
16,1,2,2,1,1,4,4,4,2,4,5,0,7,0,0
17,1,3,1,1,0,5,3,3,1,4,2,2,10,10,10
17,1,1,4,2,3,5,3,5,1,5,5,0,5,8,7
16,3,2,2,1,1,4,5,2,1,1,2,16,12,11,12
16,2,2,1,2,0,4,3,5,2,4,4,4,10,10,10
16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,16
16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0
16,4,4,1,2,0,4,4,2,1,1,3,0,14,14,14
16,3,4,3,1,2,3,4,5,2,4,2,0,6,5,0
16,1,0,2,2,0,4,3,2,1,1,3,2,13,15,16
17,4,4,1,2,0,4,4,4,1,3,5,0,13,11,10
16,1,3,1,2,3,4,3,5,1,1,3,0,8,7,0
16,3,3,2,2,0,4,4,5,1,1,4,4,10,11,9
17,4,3,2,2,0,4,4,4,4,4,4,4,10,9,9
16,2,2,2,2,0,3,4,4,1,4,5,2,13,13,11
17,3,3,1,2,0,4,3,4,1,4,4,4,6,5,6
16,4,2,1,1,0,4,3,3,3,4,3,10,10,8,9
17,4,3,1,2,0,5,2,3,1,1,2,4,10,10,11
16,4,3,1,2,0,3,4,3,2,3,3,10,9,8,8
16,3,3,1,2,0,4,2,3,1,2,3,2,12,13,12
17,2,4,1,2,0,5,4,2,2,3,5,0,16,17,17
17,3,3,1,2,0,5,3,3,2,3,1,56,9,9,8
16,3,2,1,2,0,1,2,2,1,2,1,14,12,13,12
17,3,3,1,2,0,4,3,4,2,3,4,12,12,12,11
16,1,2,1,1,0,3,3,3,1,2,3,2,11,12,11
16,2,1,1,2,0,4,2,3,1,2,5,0,15,15,15
17,3,3,1,2,0,3,3,3,1,3,3,6,8,7,9
17,1,2,1,2,0,3,1,3,1,5,3,4,8,9,10
16,2,3,1,2,0,4,3,3,1,1,2,10,11,12,13
17,1,1,1,2,0,5,3,3,1,1,3,0,8,8,9
17,1,2,2,2,0,4,4,4,4,5,5,12,7,8,8
16,3,3,1,1,0,4,3,2,3,4,5,8,8,9,10
16,2,3,2,1,0,5,3,3,1,1,3,0,13,14,14
17,2,4,1,2,0,4,3,2,1,1,5,0,14,15,15
17,4,4,1,1,0,5,2,3,1,2,5,4,17,15,16
16,3,3,3,1,0,3,3,4,3,5,3,8,9,9,10
17,4,4,2,1,1,4,2,4,2,3,2,24,18,18,18
16,4,4,1,2,0,4,5,2,1,2,3,0,9,9,10
16,4,3,1,2,0,4,3,5,1,5,2,2,16,16,16
16,2,3,1,2,0,4,4,3,1,3,4,6,8,10,10
17,1,1,1,2,0,4,4,4,1,3,1,4,9,9,10
17,2,2,1,1,0,5,3,2,1,2,3,18,7,6,6
16,2,2,2,4,0,5,3,5,1,1,5,6,10,10,11
17,3,4,1,3,1,4,4,3,3,4,5,28,10,9,9
16,3,1,1,2,3,2,3,3,2,2,4,5,7,7,7
16,4,3,1,2,0,1,3,2,1,1,1,10,11,12,13
16,1,1,2,1,0,4,3,2,1,4,5,6,9,9,10
17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,7
19,3,3,1,4,0,4,3,3,1,2,3,10,8,8,8
17,4,4,1,2,0,5,3,5,4,5,3,13,12,12,13
16,2,2,1,2,0,3,3,4,1,1,4,0,12,13,14
18,2,2,1,2,1,4,4,4,2,4,5,15,6,7,8
17,4,4,1,1,0,5,2,1,1,2,3,12,8,10,10
17,3,2,2,2,0,4,4,4,1,3,1,2,14,15,15
17,4,3,1,2,2,3,4,5,2,4,1,22,6,6,4
18,3,3,1,2,1,3,2,4,2,4,4,13,6,6,8
17,2,3,2,1,0,3,3,3,1,4,3,3,7,7,8
17,2,2,1,3,0,4,3,3,1,1,4,4,9,10,10
17,2,1,2,2,0,4,2,5,1,2,5,2,6,6,6
17,1,1,1,3,1,4,3,4,1,1,5,0,6,5,0
16,2,3,1,2,0,2,3,1,1,1,3,2,16,16,17
18,2,2,2,2,0,3,3,3,5,5,4,0,12,13,13
16,4,4,1,3,0,5,3,2,1,1,5,0,13,13,14
18,3,1,1,2,1,5,3,3,1,1,4,16,9,8,7
17,3,2,1,2,0,5,3,4,1,3,3,10,16,15,15
17,2,3,1,2,0,5,3,3,1,3,3,2,12,11,12
18,2,1,4,2,0,4,3,2,4,5,3,14,10,8,9
17,2,1,2,3,0,3,2,3,1,2,3,10,12,10,12
17,4,3,1,2,0,3,2,3,1,2,3,14,13,13,14
17,2,2,2,2,0,4,5,2,1,1,1,4,11,11,11
17,4,4,1,2,0,4,5,5,1,3,2,14,11,9,9
16,4,4,1,2,0,4,2,4,2,4,1,2,14,13,13
16,1,1,2,2,0,3,4,2,1,1,5,18,9,7,6
16,3,2,2,3,0,5,3,3,1,3,2,10,11,9,10
17,2,2,1,2,0,4,4,2,5,5,4,4,14,13,13
16,2,1,1,1,0,4,5,2,1,1,5,20,13,12,12
17,2,1,3,2,0,2,1,1,1,1,3,2,13,11,11
18,2,2,1,2,1,5,5,4,3,5,2,0,7,7,0
17,4,3,2,2,0,2,5,5,1,4,5,14,12,12,12
17,4,4,2,2,0,3,3,3,2,3,4,2,10,11,12
16,4,3,1,1,0,5,4,5,1,1,3,0,6,0,0
16,4,4,1,1,0,5,3,2,1,2,5,0,13,12,12
18,2,1,2,3,0,4,4,4,1,1,3,0,7,0,0
16,2,1,3,1,0,4,3,3,1,1,4,6,18,18,18
17,2,3,2,1,0,5,2,2,1,1,2,4,12,12,13
22,3,1,1,1,3,5,4,5,5,5,1,16,6,8,8
18,3,3,1,2,1,4,3,3,1,3,5,8,3,5,5
16,0,2,1,1,0,4,3,2,2,4,5,0,13,15,15
18,3,2,2,1,1,4,4,5,2,4,5,0,6,8,8
16,3,3,3,2,0,5,3,3,1,3,2,6,7,10,10
18,2,1,1,1,1,3,2,5,2,5,5,4,6,9,8
16,2,1,2,1,0,3,3,2,1,3,3,0,8,9,8
17,2,1,1,1,0,4,4,2,2,4,5,0,8,12,12
17,1,1,2,1,1,4,4,4,1,2,5,2,7,9,8
17,4,2,1,4,0,4,2,3,1,1,4,6,14,12,13
19,4,3,1,2,0,4,3,1,1,1,1,12,11,11,11
18,2,1,1,2,0,5,2,4,1,2,4,8,15,14,14
17,2,2,1,4,0,3,4,1,1,1,2,0,10,9,0
18,4,3,1,2,0,3,1,2,1,3,2,21,17,18,18
18,4,3,1,2,0,4,3,2,1,1,3,2,8,8,8
18,3,2,1,3,0,5,3,2,1,1,3,1,13,12,12
17,3,3,1,3,0,3,2,3,1,1,4,4,10,9,9
18,2,2,1,3,0,4,3,3,1,1,3,0,9,10,0
18,3,4,2,2,0,4,2,5,3,4,1,13,17,17,17
17,3,1,1,2,0,5,4,4,3,4,5,2,9,9,10
18,4,4,2,2,0,4,3,4,2,2,4,8,12,10,11
18,4,2,1,2,0,5,4,5,1,3,5,10,10,9,10
18,2,1,2,2,0,4,3,5,1,2,3,0,6,0,0
19,3,3,1,2,2,4,3,5,3,3,5,15,9,9,9
18,2,3,1,4,0,4,5,5,1,3,2,4,15,14,14
18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,11
17,1,2,1,2,0,3,5,2,2,2,1,2,15,14,14
17,2,4,2,2,0,4,3,3,1,1,1,2,10,10,10
17,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12
18,3,2,2,2,0,4,1,1,1,1,5,75,10,9,9
18,4,4,2,1,0,3,2,4,1,4,3,22,9,9,9
18,4,4,1,2,1,2,4,4,1,1,4,15,9,8,8
18,4,3,2,1,0,4,2,3,1,2,1,8,10,11,10
17,4,1,2,1,0,4,5,4,2,4,5,30,8,8,8
17,3,2,1,1,1,4,4,4,3,4,3,19,11,9,10
18,1,1,2,4,0,5,2,2,1,1,3,1,12,12,12
18,1,1,2,2,0,5,4,4,1,1,4,4,8,9,10
17,2,2,1,2,0,5,4,5,1,2,5,4,10,9,11
17,1,1,1,2,0,4,3,3,1,2,4,2,12,10,11
18,2,2,1,3,0,4,3,3,1,2,2,5,18,18,19
17,1,1,1,3,0,4,3,3,1,1,3,6,13,12,12
18,2,1,1,3,0,4,2,4,1,3,2,6,15,14,14
18,4,4,1,2,0,5,4,3,1,1,2,9,15,13,15
18,4,2,1,2,0,4,3,2,1,4,5,11,12,11,11
17,4,3,1,3,0,4,2,2,1,2,3,0,15,15,15
18,2,1,1,2,1,5,4,3,1,1,5,12,12,12,13
17,3,1,2,4,0,3,1,2,1,1,3,6,18,18,18
18,3,2,2,3,0,5,4,2,1,1,4,8,14,13,14
17,3,3,1,1,0,4,4,3,1,3,5,4,14,12,11
19,4,4,2,2,0,2,3,4,2,3,2,0,10,9,0
18,4,3,2,2,0,4,4,5,1,2,2,10,10,8,8
18,4,3,1,4,0,4,3,3,1,1,3,0,14,13,14
18,4,4,1,1,0,1,4,2,2,2,1,5,16,15,16
18,4,4,1,2,0,4,2,4,1,1,4,14,12,10,11
17,4,4,2,1,0,4,1,1,2,2,5,0,11,11,10
17,4,2,2,3,0,4,3,3,1,1,3,0,15,12,14
17,3,2,1,4,0,5,2,2,1,2,5,0,17,17,18
19,3,3,1,2,1,4,4,4,1,1,3,20,15,14,13
18,2,4,1,2,1,4,4,3,1,1,3,8,14,12,12
20,3,2,1,1,0,5,5,3,1,1,5,0,17,18,18
19,4,4,2,1,1,4,3,4,1,1,4,38,8,9,8
19,3,3,1,2,1,4,5,3,1,2,5,0,15,12,12
19,1,1,1,2,1,4,4,3,1,3,3,18,12,10,10
19,1,2,1,2,1,4,2,4,2,2,3,0,9,9,0
19,2,1,3,2,0,3,4,1,1,1,2,20,14,12,13
19,1,2,1,2,1,4,5,2,2,2,4,3,13,11,11
19,3,2,2,2,1,4,2,2,1,2,1,22,13,10,11
19,1,1,1,3,2,4,1,2,1,1,3,14,15,13,13
19,2,3,1,3,1,4,1,2,1,1,3,40,13,11,11
18,2,1,2,2,0,5,3,3,1,2,1,0,8,8,0
18,4,3,1,3,0,4,3,4,1,1,5,9,9,10,9
17,3,4,1,3,0,4,3,4,2,5,5,0,11,11,10
18,4,4,1,2,0,4,4,4,3,3,5,2,11,11,11
17,4,3,1,2,0,5,2,2,1,2,5,23,13,13,13
17,2,2,1,2,0,4,2,2,1,1,3,12,11,9,9
17,2,2,1,3,0,3,3,2,2,2,3,3,11,11,11
17,3,1,1,3,0,3,4,3,2,3,5,1,12,14,15
17,0,2,2,3,0,3,3,3,2,3,2,0,16,15,15
18,4,4,1,3,0,4,3,3,2,2,3,3,9,12,11
17,3,3,1,1,0,4,3,5,3,5,5,3,14,15,16
17,2,2,4,1,0,4,4,5,5,5,4,8,11,10,10
17,4,4,1,3,0,5,4,4,1,3,4,7,10,9,9
17,4,4,2,3,0,4,3,3,1,2,4,4,14,14,14
18,2,2,1,4,0,4,5,5,2,4,5,2,9,8,8
17,2,4,1,3,0,4,4,3,1,1,5,7,12,14,14
18,3,3,1,2,0,5,3,4,1,1,4,0,7,0,0
18,2,2,1,2,0,4,3,3,1,1,2,0,8,8,0
18,2,2,2,4,0,4,4,4,1,1,4,0,10,9,0
17,3,4,1,3,0,4,4,5,1,3,5,16,16,15,15
19,3,1,1,3,1,5,4,3,1,2,5,12,14,13,13
17,3,2,1,2,0,4,3,2,2,3,2,0,7,8,0
18,3,3,1,4,0,5,3,3,1,1,1,7,16,15,17
17,3,2,1,2,0,4,3,3,2,3,2,4,9,10,10
19,2,1,1,3,1,4,3,4,1,3,3,4,11,12,11
18,4,4,1,2,1,4,3,3,2,2,2,0,10,10,0
18,3,4,1,2,0,4,3,3,1,3,5,11,16,15,15
17,2,2,1,2,1,3,3,1,1,2,4,0,9,8,0
18,2,3,1,3,0,4,3,3,1,2,3,4,11,10,10
18,3,2,1,3,0,5,4,3,2,3,1,7,13,13,14
18,4,3,1,3,0,5,3,2,1,2,4,9,16,15,16
18,4,3,1,3,0,5,4,5,2,3,5,0,10,10,9
17,4,3,1,3,0,4,4,3,1,3,4,0,13,15,15
18,3,2,2,1,1,2,5,5,5,5,5,10,11,13,13
19,1,1,3,2,3,5,4,4,3,3,2,8,8,7,8
17,3,3,2,2,0,4,5,4,2,3,3,2,13,13,13
18,1,3,1,1,1,4,3,3,2,3,3,7,8,7,8
19,1,1,3,1,1,4,4,4,3,3,5,4,8,8,8
17,4,3,2,2,0,4,5,5,1,3,2,4,13,11,11
18,3,3,1,2,0,5,3,4,1,1,5,0,10,9,9
17,4,4,2,2,0,4,3,3,1,2,5,4,12,13,13
17,3,2,2,2,0,1,2,3,1,2,5,2,12,12,11
18,1,1,2,1,0,3,3,2,1,2,3,4,10,10,10
18,1,1,2,3,0,5,3,2,1,1,4,0,18,16,16
18,1,4,3,2,0,4,3,4,1,4,5,0,13,13,13
18,1,1,2,2,1,4,4,3,2,3,5,2,13,12,12
18,3,3,2,2,0,4,3,2,1,3,3,0,11,11,10
17,4,4,1,2,0,2,3,4,1,1,1,0,16,15,15
17,1,2,2,2,0,3,2,2,1,2,3,0,12,11,12
18,1,3,2,2,0,3,3,4,2,4,3,4,10,10,10
18,4,4,2,3,0,4,2,2,2,2,5,0,13,13,13
17,1,1,3,1,1,5,2,1,1,2,1,0,7,6,0
18,2,3,2,1,0,5,2,3,1,2,4,0,11,10,10
18,4,4,3,2,0,3,2,2,4,2,5,10,14,12,11
19,3,2,2,2,2,3,2,2,1,1,3,4,7,7,9
18,1,2,3,1,0,4,3,3,2,3,3,3,14,12,12
17,2,2,1,3,0,3,4,3,1,1,3,8,13,11,11
17,1,2,1,1,0,3,5,5,1,3,1,14,6,5,5
18,4,4,2,3,0,5,4,4,1,1,1,0,19,18,19
18,1,1,4,3,0,4,3,2,1,2,4,2,8,8,10
20,4,2,2,3,2,5,4,3,1,1,3,4,15,14,15
18,4,4,1,2,0,5,4,3,3,4,2,4,8,9,10
18,3,3,1,2,0,4,1,3,1,2,1,0,15,15,15
17,3,1,1,2,0,4,5,4,2,3,1,17,10,10,10
18,4,4,1,2,0,3,2,4,1,4,2,4,15,14,14
18,2,1,2,1,0,4,4,3,1,3,5,5,7,6,7
17,2,3,2,2,0,4,4,3,1,1,3,2,11,11,10
19,1,1,2,1,1,4,3,2,1,3,5,0,6,5,0
18,4,2,2,1,1,5,4,3,4,3,3,14,6,5,5
18,2,2,2,3,0,5,3,3,1,3,4,2,10,9,10
18,4,4,3,1,0,4,4,3,2,2,5,7,6,5,6
19,2,3,1,3,1,5,4,2,1,2,5,0,7,5,0
18,3,1,1,2,0,4,3,4,1,1,1,0,7,9,8
18,1,1,2,2,1,1,1,1,1,1,5,0,6,5,0
20,2,2,1,2,2,5,5,4,4,5,4,11,9,9,9
17,3,1,2,1,0,2,4,5,3,4,2,3,14,16,16
21,1,1,1,1,3,5,5,3,3,3,3,3,10,8,7
18,3,2,3,1,0,4,4,1,3,4,5,0,11,12,10
19,1,1,1,1,0,3,2,3,3,3,5,5,8,9,9
